exchange,symbol,funding_rate,next_funding_utc,countdown_sec,spot_bid,spot_ask,futures_bid,futures_ask,has_spot,has_futures,funding_timestamp_utc
deribit,BNB/USDC,,,,629.25,920.0,,,True,False,2026-02-25T23:03:53.518399+00:00
deribit,BTC/USDC,,,,68332.0,68372.0,,,True,False,2026-02-25T23:03:53.518399+00:00
deribit,BTC/USDE,,,,68371.0,68465.0,,,True,False,2026-02-25T23:03:53.518399+00:00
deribit,BTC/USDT,,,,68337.0,68384.0,,,True,False,2026-02-25T23:03:53.518399+00:00
deribit,BUIDL/USDC,,,,0.9999,1.0004,,,True,False,2026-02-25T23:03:53.518399+00:00
deribit,ETH/BTC,,,,0.0303,0.0305,,,True,False,2026-02-25T23:03:53.518399+00:00
deribit,ETH/USDC,,,,2078.4,2079.5,,,True,False,2026-02-25T23:03:53.518399+00:00
deribit,ETH/USDE,,,,2078.7,2079.3,,,True,False,2026-02-25T23:03:53.518399+00:00
deribit,ETH/USDT,,,,2077.9,2078.8,,,True,False,2026-02-25T23:03:53.518399+00:00
deribit,PAXG/USDC,,,,5176.0,5187.0,,,True,False,2026-02-25T23:03:53.518399+00:00
deribit,SOL/USDC,,,,88.85,88.88,,,True,False,2026-02-25T23:03:53.518399+00:00
deribit,STETH/ETH,,,,0.999,0.9992,,,True,False,2026-02-25T23:03:53.518399+00:00
deribit,STETH/USDC,,,,2075.5,2077.1,,,True,False,2026-02-25T23:03:53.518399+00:00
deribit,USDC/USDT,,,,0.9999,1.0,,,True,False,2026-02-25T23:03:53.518399+00:00
deribit,USDE/USDC,,,,0.9998,0.9999,,,True,False,2026-02-25T23:03:53.518399+00:00
deribit,USDE/USDT,,,,0.9997,0.9999,,,True,False,2026-02-25T23:03:53.518399+00:00
deribit,USYC/USDC,,,,,,,,True,False,2026-02-25T23:03:53.518399+00:00
deribit,XRP/USDC,,,,1.4496,1.4506,,,True,False,2026-02-25T23:03:53.518399+00:00
whitebit,BTC/USDT,2.36e-06,,,68504.45,68504.46,68335.8,68341.2,True,True,2026-02-25T23:03:54.248405+00:00
whitebit,ADA/USDT,0.0001,,,0.302384,0.302612,0.300302,0.301231,True,True,2026-02-25T23:03:54.248405+00:00
whitebit,SOL/USDT,-8.297e-05,,,89.1381,89.167,88.5802,88.6578,True,True,2026-02-25T23:03:54.248405+00:00
whitebit,ETH/USDT,-2.413e-05,,,2083.95,2083.96,2075.99,2077.57,True,True,2026-02-25T23:03:54.248405+00:00
whitebit,XRP/USDT,0.0001,,,1.45384,1.45524,1.44791,1.44907,True,True,2026-02-25T23:03:54.248405+00:00
whitebit,DOT/USDT,0.0001,,,1.6855,1.6886,1.6725,1.6781,True,True,2026-02-25T23:03:54.248405+00:00
whitebit,APE/USDT,0.0001,,,0.1122,0.1126,0.1115,0.1121,True,True,2026-02-25T23:03:54.248405+00:00
whitebit,ETC/USDT,0.0001,,,9.3176,9.3402,9.2804,9.3008,True,True,2026-02-25T23:03:54.248405+00:00
whitebit,DOGE/USDT,0.0001,,,0.103181,0.1032521,0.102841,0.102951,True,True,2026-02-25T23:03:54.248405+00:00
whitebit,TRX/USDT,-0.00014377,,,0.28564,0.285856,0.284901,0.285184,True,True,2026-02-25T23:03:54.248405+00:00
whitebit,LTC/USDT,-0.00016243,,,57.32,57.38,57.13,57.19,True,True,2026-02-25T23:03:54.248405+00:00
whitebit,AVAX/USDT,0.0001,,,9.6179,9.631,9.5616,9.5712,True,True,2026-02-25T23:03:54.248405+00:00
whitebit,SHIB/USDT,0.0001,,,6.36e-06,6.38e-06,6.331e-06,6.349e-06,True,True,2026-02-25T23:03:54.248405+00:00
whitebit,EGLD/USDT,0.0001,,,4.6755,4.6963,4.676,4.691,True,True,2026-02-25T23:03:54.248405+00:00
whitebit,LINK/USDT,0.0001,,,9.4263,9.4417,9.3639,9.3731,True,True,2026-02-25T23:03:54.248405+00:00
whitebit,APT/USDT,0.0001,,,1.0168,1.018,1.0099,1.011,True,True,2026-02-25T23:03:54.248405+00:00
whitebit,BCH/USDT,0.0001,,,502.37,503.07,500.19,500.66,True,True,2026-02-25T23:03:54.248405+00:00
whitebit,NEAR/USDT,0.0001,,,1.1948,1.1962,1.187,1.192,True,True,2026-02-25T23:03:54.248405+00:00
whitebit,ATOM/USDT,0.0001,,,1.9668,1.9713,1.954,1.9603,True,True,2026-02-25T23:03:54.248405+00:00
whitebit,FIL/USDT,0.0001,,,1.0955,1.0976,1.093,1.097,True,True,2026-02-25T23:03:54.248405+00:00
whitebit,XMR/USDT,0.0001,,,345.55,346.17,344.99,346.6,True,True,2026-02-25T23:03:54.248405+00:00
whitebit,XLM/USDT,0.0001,,,0.16571,0.16598,0.16519,0.16541,True,True,2026-02-25T23:03:54.248405+00:00
whitebit,OP/USDT,0.0001,,,0.1279,0.1284,0.1268,0.1271,True,True,2026-02-25T23:03:54.248405+00:00
whitebit,ARB/USDT,0.0001,,,0.1037,0.104,0.1031,0.1036,True,True,2026-02-25T23:03:54.248405+00:00
whitebit,TRB/USDT,5e-05,,,15.454,15.4959,15.381,15.415,True,True,2026-02-25T23:03:54.248405+00:00
whitebit,FET/USDT,0.0001,,,0.1709,0.1716,0.1705,0.1711,True,True,2026-02-25T23:03:54.248405+00:00
whitebit,BLUR/USDT,0.0001,,,0.02125,0.02131,0.02112,0.0212,True,True,2026-02-25T23:03:54.248405+00:00
whitebit,UNI/USDT,0.0001,,,4.0883,4.0909,4.0694,4.0754,True,True,2026-02-25T23:03:54.248405+00:00
whitebit,AXS/USDT,-0.00159338,,,1.4119,1.419,1.4045,1.41,True,True,2026-02-25T23:03:54.248405+00:00
whitebit,GRT/USDT,0.0001,,,0.02827,0.02835,0.02829,0.02836,True,True,2026-02-25T23:03:54.248405+00:00
whitebit,SNX/USDT,0.0001,,,0.373,0.379,0.3734,0.3748,True,True,2026-02-25T23:03:54.248405+00:00
whitebit,MANTA/USDT,5e-05,,,0.06872,0.06901,0.06798,0.06822,True,True,2026-02-25T23:03:54.248405+00:00
whitebit,TIA/USDT,5e-05,,,0.3579,0.3586,0.3565,0.3574,True,True,2026-02-25T23:03:54.248405+00:00
whitebit,JUP/USDT,5e-05,,,0.1633,0.164,0.1623,0.1631,True,True,2026-02-25T23:03:54.248405+00:00
whitebit,ZETA/USDT,5e-05,,,0.05487,0.05506,0.05455,0.05471,True,True,2026-02-25T23:03:54.248405+00:00
whitebit,SUI/USDT,0.0001,,,0.989,0.9899,0.9851,0.9864,True,True,2026-02-25T23:03:54.248405+00:00
whitebit,STRK/USDT,5e-05,,,0.0453,0.0459,0.04517,0.04538,True,True,2026-02-25T23:03:54.248405+00:00
whitebit,PIXEL/USDT,5e-05,,,0.00524,0.00529,0.005226,0.005238,True,True,2026-02-25T23:03:54.248405+00:00
whitebit,ARKM/USDT,5e-05,,,0.1179,0.1191,0.1177,0.119,True,True,2026-02-25T23:03:54.248405+00:00
whitebit,DYM/USDT,5e-05,,,0.0403,0.0405,0.04039,0.04053,True,True,2026-02-25T23:03:54.248405+00:00
whitebit,ACE/USDT,5e-05,,,0.1559,0.1571,0.1548,0.156,True,True,2026-02-25T23:03:54.248405+00:00
whitebit,SEI/USDT,0.0001,,,0.072,0.0724,0.0718,0.0722,True,True,2026-02-25T23:03:54.248405+00:00
whitebit,PORTAL/USDT,5e-05,,,0.01281,0.01288,0.01283,0.0129,True,True,2026-02-25T23:03:54.248405+00:00
whitebit,WIF/USDT,5e-05,,,0.2209,0.2221,0.2205,0.2216,True,True,2026-02-25T23:03:54.248405+00:00
whitebit,CYBER/USDT,5e-05,,,0.5657,0.5678,0.5642,0.5669,True,True,2026-02-25T23:03:54.248405+00:00
whitebit,MEME/USDT,5e-05,,,0.000665,0.00067,0.0006644,0.0006666,True,True,2026-02-25T23:03:54.248405+00:00
